School,Closest Store,Store Address,Distance in Miles,Percent in Poverty
Allison Elementary,H-E-B,"2110 W Slaughter Ln, Austin",0.66,92.0
Andrews Elementary School,H-E-B,"7112 Ed Bluestein Blvd #125, Austin",0.97,91.02
Becker Elementary School,H-E-B,"2400 S Congress Ave, Austin",0.84,64.52
Blackshear Elementary School,H-E-B,"2701 E 7th St, Austin",0.83,82.49
Blanton Elementary,H-E-B,"1801 E 51st St, Austin",0.63,65.23
Brooke Elementary School,H-E-B,"2701 E 7th St, Austin",0.37,92.22
T.A. Brown Elementary School,Walmart Supercenter,"1030 Norwood Park Boulevard, Austin",1.24,89.63
Campbell Elementary,Fiesta Mart,"3909 North Interstate 35 Frontage Road, Austin",0.94,81.45
Cunningham Elementary School,H-E-B,"600 W William Cannon Dr, Austin",1.44,45.89
Dawson Elementary School,H-E-B,"2400 S Congress Ave, Austin",0.59,70.92
Govalle Elementary School,H-E-B,"2701 E 7th St, Austin",0.85,89.95
Harris Elementary School,H-E-B,"1801 E 51st St, Austin",1.05,91.71
Joslin Elementary School,Randalls,"2025 W Ben White Blvd, Austin",0.09,65.7
Mathews Elementary School,Whole Foods Market,"525 North Lamar Boulevard, Austin",0.7,33.93
Metz Elementary School,H-E-B,"2701 E 7th St, Austin",0.69,89.9
Oak Springs Elementary School,H-E-B,"2701 E 7th St, Austin",0.98,95.75
Ortega Elementary School,H-E-B,"2701 E 7th St, Austin",1.8,82.64
Sanchez Elementary School,H-E-B,"2701 E 7th St, Austin",0.69,94.83
Pecan Springs Elementary School,H-E-B,"7112 Ed Bluestein Blvd #125, Austin",0.92,89.57
Pleasant Hill Elementary School,H-E-B,"600 W William Cannon Dr, Austin",0.61,6.59
Reilly Elementary School,H-E-B,"5808 Burnet Rd, Austin",1.32,69.78
Ridgetop Elementary School,H-E-B,"1000 E 41st St, Austin",0.78,43.01
St. Elmo Elementary School,Supermercado Poco Loco,"611 West Ben White Boulevard, Austin",0.31,77.29
Sims Elementary School,H-E-B,"1801 E 51st St, Austin",1.7,92.31
Travis Heights Elementary School,H-E-B,"2400 S Congress Ave, Austin",0.59,71.2
Walnut Creek Elementary School,H-E-B,"9414 N Lamar Blvd, Austin",1.34,89.91
Wooten Elementary School,Walmart Supercenter,"2525 West Anderson Lane, Austin",0.95,90.64
Zavala Elementary School,H-E-B,"2701 E 7th St, Austin",0.5,90.99
Menchaca Elementary School,H-E-B,"2110 W Slaughter Ln, Austin",2.39,42.84
Oak Hill Elementary School,H-E-B,"7010 TX-71, Austin",0.93,40.59
Barrington Elementary School,H-E-B,"9414 N Lamar Blvd, Austin",0.31,93.09
Norman Elementary School,H-E-B,"1801 E 51st St, Austin",2.16,92.81
Pillow Elementary School,Walmart Supercenter,"2525 West Anderson Lane, Austin",0.96,71.05
Wooldridge Elementary School,H-E-B,"9414 N Lamar Blvd, Austin",0.71,91.84
Odom Elementary School,H-E-B,"600 W William Cannon Dr, Austin",0.57,80.89
Winn Elementary School,H-E-B,"7112 Ed Bluestein Blvd #125, Austin",0.19,90.63
Sunset Valley Elementary School,Randalls,"2025 W Ben White Blvd, Austin",0.99,63.52
Graham Elementary School,H-E-B,"9414 N Lamar Blvd, Austin",1.82,86.91
Linder Elementary School,Walmart Supercenter,"710 East Ben White Boulevard, Austin",0.99,91.18
Katherine A Cook Elementary School,H-E-B,"9414 N Lamar Blvd, Austin",0.96,92.52
Josephine Houston Elementary School,Fiesta Mart,"5510 Interstate 35, Austin",0.6,93.54
Hart Elementary School,Walmart Supercenter,"1030 Norwood Park Boulevard, Austin",0.24,97.39
Pickle Elementary School,Walmart Supercenter,"1030 Norwood Park Boulevard, Austin",0.46,95.47
Mc Bee Elementary School,H-E-B,"9414 N Lamar Blvd, Austin",1.35,93.01
Williams Elementary School,H-E-B,"600 W William Cannon Dr, Austin",1.21,73.45
Langford Elementary School,H-E-B,"6607 S IH 35 Frontage Rd, Austin",0.55,94.29
Boone Elementary School,H-E-B,"6900 Brodie Ln, Austin",1.03,42.68
Palm Elementary School,H-E-B,"6607 S IH 35 Frontage Rd, Austin",2.22,83.54
Kocurek Elementary School,H-E-B,"2110 W Slaughter Ln, Austin",0.62,60.95
Casey Elementary School,H-E-B,"2110 W Slaughter Ln, Austin",0.63,54.22
Rodriguez Elementary School,Fiesta Mart,"5510 Interstate 35, Austin",1.02,96.83
Widen Elementary School,Fiesta Mart,"5510 Interstate 35, Austin",1.66,93.41
Galindo Elementary School,Supermercado Poco Loco,"611 West Ben White Boulevard, Austin",0.27,88.25
Uphaus Early Childhood Center,Fiesta Mart,"5510 Interstate 35, Austin",0.52,80.88
Barbara Jordan Elementary School,H-E-B,"7112 Ed Bluestein Blvd #125, Austin",1.31,94.03
Blazier Elementary School,H-E-B,"6607 S IH 35 Frontage Rd, Austin",2.47,69.76
Dr. Guerrero-Thompson Elementary School,H-E-B,"9414 N Lamar Blvd, Austin",0.39,96.27
Padrón Elementary School,H-E-B,"9414 N Lamar Blvd, Austin",1.46,94.62
Overton Elementary School,H-E-B,"7112 Ed Bluestein Blvd #125, Austin",1.87,94.68
Perez Elementary School,H-E-B,"6607 S IH 35 Frontage Rd, Austin",1.46,88.01
Webb Primary School,Walmart Supercenter,"1030 Norwood Park Boulevard, Austin",1.15,97.48
