School Name,Location,Percent in Poverty,Lat,Long,Google Place ID
Antonio M. Bruni Elementary School,Laredo,100.0,27.51323219999999,-99.5022001, ChIJNX9vQIIhYYYRYxMSm6Ws-r8
Don Jose Gallego,Laredo,100.0,27.51726499999999,-99.491829,ChIJu3mShXohYYYRF2uzDZdl5QE
Leon Daiches Elementary School,Laredo,100.0,27.4969553,-99.4812494,ChIJxYFlGN0jYYYRasSi-cCd6sw
Francisco Farias Elementary School,Laredo,100.0,27.5382597,-99.5113203,ChIJW-ZJGaUhYYYRiRbv-huhLaM
Heights Elementary School,Laredo,100.0,27.5039795,-99.4841824,ChIJQb-m1NgjYYYRrefQzglRrWs
Tarver Elementary School,Laredo,100.0,27.5237756,-99.4880445,ChIJVUc4xG0hYYYRjIiQQz6gRzE
J Z Leyendecker Elementary,Laredo,100.0,27.5212795,-99.50874069999999,ChIJmbl7ypshYYYRiKKoksvsrQY
Christopher M. Macdonell Elementary School,Laredo,100.0,27.512389,-99.5119065,ChIJK5ARjIUhYYYRIiUodW0bDjY
Clarence L. Milton Elementary School,Laredo,100.0,27.52682729999999,-99.4713786,ChIJP6yIX0YhYYYRka52c1aL74s
Pierce Elementary School,Laredo,100.0,27.53579299999999,-99.48993139999999,ChIJP9U_-w0hYYYRv9GlZvIyOAY
Michael S. Ryan Elementary School,Laredo,100.0,27.5157293,-99.47109460000001,ChIJJ3_9nlshYYYRVdJ-P6u9j8w
Santa Maria Elementary School,Laredo,100.0,27.5347654,-99.50949399999999,ChIJq9XEY6MhYYYRIXeWHQor4YM
Santo Nino Elementary School,Laredo,100.0,27.4859379,-99.467987,ChIJrUxOQO0jYYYR2kO3ODtTRDU
D D Hachar Elementary School,Laredo,100.0,27.5060254,-99.4649774,ChIJP4EQD_0jYYYRoKWCqSbLRoQ
"J C Martin, Jr. Elementary School",Laredo,100.0,27.5108085,-99.496532,ChIJEza6tnUhYYYR-cLcFf4kcS4
Henry B. Zachry Elementary School,Laredo,100.0,27.47341669999999,-99.46377299999999,ChIJu3eCaI8jYYYR3Iiwo6ihbyY
Kawas Elementary School,Laredo,100.0,27.4787802,-99.4713716,ChIJ1QkwZJEjYYYR-pN73avqIno
Dovalina Elementary School,Laredo,100.0,27.515146,-99.5215154,ChIJAfb4oZIhYYYRTGziicyukdc
Honore Ligarde Elementary School,Laredo,100.0,27.4715417,-99.46474970000001,ChIJ1-oIFIUjYYYRgVhUxQHrE4M
Sanchez Elementary School,Laredo,100.0,27.526962,-99.4947636,ChIJOx_9e3MhYYYRHuf4qoghweA
