School Name,Location,Store Name,Address,Driving Distance (miles),Bus Distance (miles),Percent in Poverty,Zip Code
Antonio M. Bruni Elementary School,Laredo,Los Perez Meat Market,601 Park St,0.3,,100,78040
Christopher M. Macdonell Elementary School,Laredo,Laredo Organic Foods & Vitamin,611 Salinas Ave,0.7,,100,78040
Clarence L. Milton Elementary School,Laredo,H-E-B,2310 E Saunders St,0.9,,100,78041
D D Hachar Elementary School,Laredo,H-E-B,1301 Guadalupe St,1.2,,100,78040
Don Jose Gallego,Laredo,Heights Meat Market,3119 Tilden Ave,0.9,,100,78040
Dovalina Elementary School,Laredo,Laredo Organic Foods & Vitamin,611 Salinas Ave,1.6,,100,78040
Francisco Farias Elementary School,Laredo,H-E-B,4801 San Dario Ave,8,,100,78041
Heights Elementary School,Laredo,H-E-B,1301 Guadalupe St,0.2,,100,78040
Henry B. Zachry Elementary School,Laredo,H-E-B,2314 S Zapata Hwy,1,,100,78046
Honore Ligarde Elementary School,Laredo,H-E-B,2314 S Zapata Hwy,1.1,,100,78046
"J C Martin, Jr. Elementary School",Laredo,Los Perez Meat Market,601 Park St,0.9,,100,78040
J Z Leyendecker Elementary,Laredo,Los Perez Meat Market,601 Park St,0.7,,100,78040
Kawas Elementary School,Laredo,H-E-B,2314 S Zapata Hwy,0.5,,100,78046
Leon Daiches Elementary School,Laredo,H-E-B,1301 Guadalupe St,0.8,,100,78040
Michael S. Ryan Elementary School,Laredo,H-E-B,1301 Guadalupe St,1.9,,100,78040
Pierce Elementary School,Laredo,Heights Meat Market,3119 Tilden Ave,0.9,,100,78040
Sanchez Elementary School,Laredo,Heights Meat Market,3119 Tilden Ave,0.6,,100,78040
Santa Maria Elementary School,Laredo,H-E-B,4801 San Dario Ave,7.7,,100,78041
Santo Nino Elementary School,Laredo,H-E-B,2314 S Zapata Hwy,1,,100,78046
Tarver Elementary School,Laredo,Heights Meat Market,3119 Tilden Ave,0.06,,100,78040
